district,no_of_rooms,floor_area_sqm,remaining_lease,resale_price
1,2,44,64,245000
1,2,45,69,250000
1,2,44,64,230000
1,2,44,64,240000
1,2,44,62,241000
1,2,44,64,245000
1,2,44,61,265000
1,2,44,61,272000
1,2,44,61,255000
1,2,44,62,230000
5,2,44,61,255000
5,2,45,69,222000
5,2,44,61,240000
5,2,45,69,240000
5,2,44,61,240000
5,2,44,63,240000
5,2,44,62,220000
5,2,44,62,230000
5,2,44,61,240000
5,2,44,60,220000
6,2,44,60,258000
6,2,44,60,270000
6,2,44,60,250000
6,2,44,60,260000
6,2,44,60,220000
6,2,44,62,240000
6,2,45,68,253000
6,2,44,61,242000
6,2,44,61,230000
6,2,44,60,260000
6,2,44,62,245000
6,2,44,60,228000
6,2,44,61,230000
6,2,44,60,237500
6,2,44,60,250000
6,2,44,60,252000
1,2,44,60,260000
1,2,44,59,258000
3,3,65,59,445000
3,3,59,61,452888
3,3,70,61,525000
3,3,59,60,458000
3,3,59,60,438000
3,3,70,67,480000
3,3,59,60,460000
3,3,65,65,345000
3,3,70,60,515000
3,4,85,65,469000
3,3,70,67,400000
3,3,59,60,440000
7,3,70,60,599000
7,3,65,61,390000
7,4,85,65,460000
7,3,65,64,370000
7,4,111,67,620000
7,5,137,67,760000
7,3,65,61,360000
7,3,59,60,435000
7,3,70,60,548000
7,4,85,65,460000
7,3,70,60,555000
7,3,70,60,563000
3,3,65,60,392000
3,3,59,60,465000
3,3,70,60,530000
3,3,59,59,385000
3,3,59,59,450000
3,3,70,67,510000
3,3,70,59,580000
3,3,59,59,410000
3,3,59,59,480000
3,4,85,65,485000
3,3,59,59,450000
3,3,70,59,500000
3,3,65,60,388800
3,3,65,64,398000
3,3,70,59,510000
8,3,59,59,468000
8,4,102,66,740000
8,3,65,63,385000
8,3,59,59,450000
8,3,65,60,420000
8,4,85,64,435000
8,4,85,64,480000
8,4,85,66,625000
8,5,137,67,770000
8,3,59,59,435000
8,3,59,59,520000
3,3,59,59,475000
3,3,59,59,440000
3,3,59,59,410000
2,3,59,62,270000
2,3,65,60,282000
2,3,59,62,285000
2,3,59,62,288000
2,3,65,66,292000
